trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.2, 'e': 0.8913661439068313}",25,0,-179.9246381590306,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
116,False,"{'a': 0.2, 'e': 0.8904752232974726}",30,0,-207.4023385268974,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
117,False,"{'a': 0.2, 'e': 0.8895851931634113}",30,0,-125.2015414734235,"{0: 15, 1: 6, 2: 7, 3: 2, 4: 0}",0
118,False,"{'a': 0.2, 'e': 0.8886960526146173}",25,0,-86.34789527780013,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
119,False,"{'a': 0.2, 'e': 0.8878078007619501}",30,0,-145.03572724009712,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
120,False,"{'a': 0.2, 'e': 0.8869204367171575}",20,0,-43.267663930120634,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.2, 'e': 0.8860339595928756}",20,0,-99.28170582880195,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
122,False,"{'a': 0.2, 'e': 0.885148368502627}",20,0,-114.52663968248075,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
123,False,"{'a': 0.2, 'e': 0.8842636625608209}",25,13,-23.51880729065896,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.2, 'e': 0.8833798408827508}",25,0,-79.03298097762075,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.2, 'e': 0.8824969025845953}",30,0,-51.68749943793103,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
126,False,"{'a': 0.2, 'e': 0.881614846783416}",30,0,-117.98363967237029,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
127,False,"{'a': 0.2, 'e': 0.880733672597157}",30,0,-232.75717727210477,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
128,False,"{'a': 0.2, 'e': 0.8798533791446439}",20,0,-71.81511412585253,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
129,False,"{'a': 0.2, 'e': 0.8789739655455832}",25,0,-102.61463333091791,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
