trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.9, 'e': 0.9130177108992658}",20,0,-144.4277676625828,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
92,False,"{'a': 0.9, 'e': 0.9121051495450905}",25,0,-177.87345767313928,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
93,False,"{'a': 0.9, 'e': 0.9111935002961405}",25,0,-79.4439366541958,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
94,False,"{'a': 0.9, 'e': 0.910282762240767}",25,9,-12.1437318549464,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.9, 'e': 0.9093729344682315}",20,0,-134.56424838045072,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
96,False,"{'a': 0.9, 'e': 0.9084640160687062}",30,0,-100.16725266416633,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.9, 'e': 0.9075560061332726}",20,0,-51.70358687162309,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.9, 'e': 0.9066489037539209}",25,0,-122.92745532272305,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
99,False,"{'a': 0.9, 'e': 0.9057427080235485}",30,0,-137.01278305610975,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
100,False,"{'a': 0.9, 'e': 0.9048374180359595}",25,0,-103.8564158588162,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.9, 'e': 0.903933032885864}",25,0,-175.04188358913706,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
102,False,"{'a': 0.9, 'e': 0.9030295516688768}",20,0,-89.78934235998332,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
103,False,"{'a': 0.9, 'e': 0.9021269734815165}",25,0,-83.07827661841704,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
104,False,"{'a': 0.9, 'e': 0.9012252974212048}",25,0,-27.668388260790913,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.9, 'e': 0.9003245225862656}",20,0,-108.75759512220503,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
106,False,"{'a': 0.9, 'e': 0.899424648075924}",25,0,-78.16511264453825,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
107,False,"{'a': 0.9, 'e': 0.8985256729903055}",20,0,-21.00151755400713,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
108,False,"{'a': 0.9, 'e': 0.8976275964304348}",20,0,-122.87867174076192,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
109,False,"{'a': 0.9, 'e': 0.8967304174982355}",25,2,-144.10372114337625,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 2}",1
110,False,"{'a': 0.9, 'e': 0.8958341352965282}",20,0,-54.71176625869255,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.9, 'e': 0.894938748929031}",20,0,-43.39181725700391,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 0.9, 'e': 0.8940442575003573}",25,7,-89.70057501059141,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 1}",1
113,False,"{'a': 0.9, 'e': 0.8931506601160155}",25,0,-107.37251032367737,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
114,False,"{'a': 0.9, 'e': 0.8922579558824083}",20,0,-153.47511144121947,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
115,False,"{'a': 0.9, 'e': 0.8913661439068313}",20,0,-39.28497978775638,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
116,False,"{'a': 0.9, 'e': 0.8904752232974726}",30,0,-44.23625090637366,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 0.9, 'e': 0.8895851931634113}",20,0,-113.89423983372035,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
118,False,"{'a': 0.9, 'e': 0.8886960526146173}",20,0,-26.232985298274617,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
119,False,"{'a': 0.9, 'e': 0.8878078007619501}",20,0,-52.176153106294684,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
120,False,"{'a': 0.9, 'e': 0.8869204367171575}",20,4,-98.25623149528522,"{0: 10, 1: 1, 2: 1, 3: 3, 4: 1}",1
121,False,"{'a': 0.9, 'e': 0.8860339595928756}",25,0,-94.04856956121243,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
122,False,"{'a': 0.9, 'e': 0.885148368502627}",20,0,-21.696995170535466,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.8842636625608209}",20,0,-67.25962686313743,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.9, 'e': 0.8833798408827508}",25,0,-155.70728729241276,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
125,False,"{'a': 0.9, 'e': 0.8824969025845953}",25,0,-175.87001840376698,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
126,False,"{'a': 0.9, 'e': 0.881614846783416}",25,0,-141.72872957240693,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
127,False,"{'a': 0.9, 'e': 0.880733672597157}",20,0,-152.04287141330107,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
128,False,"{'a': 0.9, 'e': 0.8798533791446439}",20,4,-75.86016943854895,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 1}",1
129,False,"{'a': 0.9, 'e': 0.8789739655455832}",20,6,-81.05187973630582,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 1}",1
